country,date,lead_id,reason_forgot,reason_tried_cancel,reason_did_not_cancel,reason_problem_branch,reason_problem_cs,reason_no_info,reason_late,reason_no_docs,reason_car_not_running,reason_car_deregistered,reason_not_found_branch,reason_duplication,reason_appt_took_place,reason_other
BE,"2026-04-24",AT72959,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BE,"2026-04-24",MZ17093,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-25",UL83359,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BE,"2026-04-25",ZM31561,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-25",PD11465,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BE,"2026-04-25",KA58080,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BE,"2026-04-25",CJ05115,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BE,"2026-04-25",DM35873,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-27",VK31924,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-27",MS10783,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-27",CU53206,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-27",DU05496,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-27",LJ03736,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-27",EG47816,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-27",XT99277,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-27",LD17132,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-27",FD20807,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BE,"2026-04-27",NG69596,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BE,"2026-04-27",RA92842,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BE,"2026-04-27",XG21817,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-27",CN10966,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-27",TW41441,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-27",PM42958,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-27",HX24758,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-27",XB02529,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-27",AU40905,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-28",GE31557,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-28",LS17368,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-28",AN25861,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-28",JC51536,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-28",LN35699,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-28",WN17504,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-28",CK33091,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-28",SM77976,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-28",TY69630,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BE,"2026-04-29",VV47681,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-29",RB96938,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-29",VU13779,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BE,"2026-04-29",JH15003,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-29",AN48604,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BE,"2026-04-29",YJ04880,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-29",CD93335,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BE,"2026-04-29",EW14294,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-29",ZB58037,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-29",WG11495,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-29",JR28005,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BE,"2026-04-29",BC72148,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BE,"2026-04-29",LW93196,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-29",AV05872,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-04-29",GJ74108,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BE,"2026-04-29",BD75892,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BE,"2026-04-29",ET54500,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-29",LT61846,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-29",DZ92857,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-29",VC60717,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BE,"2026-04-29",WC75548,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BE,"2026-04-30",XB49375,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-30",WM94467,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-30",UE32328,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-30",MS12681,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-30",ZG10049,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BE,"2026-04-30",RR28048,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BE,"2026-04-30",PD75101,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-04-30",JK92763,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BE,"2026-04-30",EZ19248,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BE,"2026-05-04",HH73432,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-05-04",RK24788,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BE,"2026-05-04",CB79104,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BE,"2026-05-04",GE48300,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-05-04",CM56330,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-05-04",SN39729,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-05-04",ZA73913,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BE,"2026-05-04",UV50648,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-05-04",RK14957,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-05-04",XM42286,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BE,"2026-05-04",RT86170,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-05-04",WH79439,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-05-04",KT48093,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-05-05",SJ28795,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BE,"2026-05-05",TS81343,0,0,0,0,0,1,0,0,0,0,0,0,0,0
BE,"2026-05-05",DU19811,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BE,"2026-05-05",DG82304,0,1,0,0,0,0,0,0,0,0,0,0,0,0
BE,"2026-05-05",UU43965,0,0,0,1,0,0,0,0,0,0,0,0,0,0
BE,"2026-05-05",FY09003,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BE,"2026-05-05",PL21274,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BE,"2026-05-05",AM50142,0,0,0,0,0,0,1,0,0,0,0,0,0,0
